"state","ev","dem_share"
"Alabama",9,0.356258564060393
"Alaska",3,0.416143452889319
"Arizona",11,0.481099765989605
"Arkansas",6,0.357148623102295
"California",55,0.661282107958191
"Colorado",9,0.526833333726824
"Connecticut",7,0.571415475172636
"Delaware",3,0.559986214436812
"District of Columbia",3,0.956951883418541
"Florida",29,0.493811645272245
"Georgia",16,0.473388274006968
"Hawaii",0,0.674413374505355
"Idaho",4,0.316898233191944
"Illinois",20,0.590200513907115
"Indiana",11,0.398826904754919
"Iowa",6,0.449364521548797
"Kansas",6,0.388885296573933
"Kentucky",8,0.343293709824901
"Louisiana",8,0.398283227621922
"Maine",4,0.515967911291625
"Maryland",10,0.640162496847694
"Massachusetts",11,0.646512786896295
"Michigan",16,0.498823317830385
"Minnesota",10,0.508318569336153
"Mississippi",6,0.409101526759399
"Missouri",10,0.401814390044339
"Montana",3,0.388903356829756
"Nebraska",5,0.364523258868224
"Nevada",6,0.512937094199852
"New Hampshire",4,0.501970284423807
"New Jersey",14,0.572841901429013
"New Mexico",5,0.546507949343241
"New York",29,0.617724184617737
"North Carolina",15,0.480962541962813
"North Dakota",3,0.301907571034803
"Ohio",18,0.457323154228641
"Oklahoma",7,0.306952627616719
"Oregon",7,0.561558389450544
"Pennsylvania",20,0.496244641925098
"Rhode Island",4,0.583107040926598
"South Carolina",9,0.42539743639476
"South Dakota",3,0.340281419205687
"Tennessee",11,0.36375656954738
"Texas",36,0.45286774422028
"Utah",6,0.376163417915092
"Vermont",3,0.651864263238204
"Virginia",13,0.528263762771547
"Washington",0,0.587869312000648
"West Virginia",5,0.278389477487042
"Wisconsin",10,0.495920109619703
"Wyoming",3,0.242946803708462
